form.health_centre_information.capacity.number_consultation_rooms,form.health_centre_information.capacity.number_inpatient_beds,form.health_centre_information.capacity.number_maternity_beds,form.health_centre_information.group_number_employed.list_community_health_officer.cho_number_in_post,form.health_centre_information.group_number_employed.list_community_health_officer.cho_number_present_at_visit,form.health_centre_information.group_number_employed.list_community_health_technician.cht_number_in_post,form.health_centre_information.group_number_employed.list_community_health_technician.cht_number_present_at_visit,form.health_centre_information.group_number_employed.list_community_health_assistant.cha_number_in_post,form.health_centre_information.group_number_employed.list_community_health_assistant.cha_number_present_at_visit,form.health_centre_information.group_number_employed.list_community_midwives.cm_number_in_post,form.health_centre_information.group_number_employed.list_community_midwives.cm_number_present_at_visit,form.health_centre_information.group_number_employed.list_sechn.sechn_number_in_post,form.health_centre_information.group_number_employed.list_sechn.sechn_number_present_at_visit,form.health_centre_information.group_number_employed.list_laboratory_technicians.lab_tech_number_in_post,form.health_centre_information.group_number_employed.list_laboratory_technicians.lab_tech_number_present_at_visit,form.health_centre_information.group_number_employed.list_mch_aides.mch_aides_number_in_post,form.health_centre_information.group_number_employed.list_mch_aides.mch_aides_number_present_at_visit,form.health_centre_information.group_number_employed.list_cleaner_porter.cleaner_porter_number_in_post,form.health_centre_information.group_number_employed.list_cleaner_porter.cleaner_porter_number_present_at_visit,form.health_centre_information.group_number_employed.list_other.other_number_in_post,form.health_centre_information.group_number_employed.list_other.other_number_present_at_visit,form.consultations.head_count.month_1,form.consultations.head_count.month_2,form.consultations.head_count.month_3,form.consultations.head_count.month_4,form.consultations.general_outpatient.month_1,form.consultations.general_outpatient.month_2,form.consultations.general_outpatient.month_3,form.consultations.general_outpatient.month_4,form.consultations.deliveries.month_1,form.consultations.deliveries.month_2,form.consultations.deliveries.month_3,form.consultations.deliveries.month_4,form.consultations.pent_vaccines.month_1,form.consultations.pent_vaccines.month_2,form.consultations.pent_vaccines.month_3,form.consultations.head_count.monthly_average_head_counts,form.consultations.general_outpatient.monthly_average_general_outpatient,form.consultations.deliveries.monthly_average_deliveries,form.consultations.pent_vaccines.monthly_average_pent_vaccines,form.ql_human_resources.score_human_resources,form.ql_information_education_communication.score_information_education_communication,form.ql_surveillance.score_surveillance,form.ql_triage_and_early_recognition.score_triage_and_early_recognition,form.ql_chw.score_chw,form.ql_isolation_physical_distancing.score_isolation,form.grp_infection_prevention_and_control.ql_ppe.score_infection_prevention_and_control_ppe,form.grp_infection_prevention_and_control.ql_ppe_plan.score_infection_prevention_and_control_ppe_plan,form.grp_infection_prevention_and_control.ql_waste_collection_and_disposal.score_infection_prevention_and_control_waste_collection_and_disposal,form.grp_infection_prevention_and_control.ql_water_sanitation_and_hygiene.score_infection_prevention_and_control_water_sanitation_and_hygiene,form.grp_infection_prevention_and_control.ql_disinfection_and_sterilization.score_infection_prevention_and_control_disinfection_and_sterilization,form.grp_infection_prevention_and_control.score_infection_prevention_and_control
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,221.0,225.0,304.0,217.0,144.0,151.0,158.0,145.0,19.0,20.0,21.0,18.0,12.0,10.0,18.0,241.75,149.5,19.5,15.0,2.0,6.0,4.0,3.0,1.5,2.0,3.0,1.0,1.5,4.0,1.0,10.5
1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,13.0,5.0,270.0,238.0,245.0,269.0,178.0,155.0,171.0,182.0,15.0,15.0,17.0,16.0,18.0,16.0,19.0,255.5,171.5,15.75,17.25,1.5,3.0,2.5,0.5,1.0,0.5,3.0,0.0,1.0,1.5,0.0,5.5
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,18.0,3.0,748.0,604.0,405.0,576.0,466.0,474.0,338.0,418.0,9.0,13.0,7.0,7.0,18.0,22.0,24.0,583.25,424.0,9.0,19.75,3.0,4.0,2.5,0.5,1.0,1.0,5.5,1.0,1.5,2.0,0.0,10.0
1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,79.0,93.0,101.0,21.0,144.0,88.0,101.0,121.0,7.0,5.0,11.0,3.0,5.0,5.0,6.0,73.5,113.5,6.5,5.75,1.0,1.0,3.0,2.0,2.0,2.0,5.5,0.5,0.0,4.0,2.0,12.0
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,928.0,900.0,467.0,177.0,165.0,399.0,408.0,198.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,618.0,292.5,4.5,3.25,2.5,0.0,3.0,2.0,3.0,3.0,3.0,0.5,1.5,4.0,3.0,12.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,358.0,308.0,452.0,267.0,128.0,144.0,124.0,137.0,15.0,13.0,13.0,17.0,20.0,19.0,20.0,346.25,133.25,14.5,19.5,3.5,7.0,4.0,2.5,3.5,3.0,4.5,1.0,0.0,1.0,2.0,8.5
1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,293.0,304.0,345.0,190.0,166.0,178.0,190.0,163.0,7.0,0.0,10.0,18.0,14.0,18.0,22.0,283.0,174.25,8.75,17.25,2.0,2.0,3.0,4.0,2.0,3.0,0.5,1.5,1.0,3.0,1.0,7.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,431.0,457.0,329.0,345.0,196.0,177.0,146.0,140.0,11.0,11.0,8.0,9.0,21.0,11.0,19.0,390.5,164.75,9.75,16.75,3.5,6.0,1.5,4.0,2.5,3.5,7.0,2.0,4.0,2.5,4.0,19.5
1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,168.0,215.0,181.0,252.0,127.0,87.0,114.0,101.0,5.0,6.0,10.0,5.0,14.0,11.0,10.0,204.0,107.25,6.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,6.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,5.0,5.0,1.0,2.0,2.0,2.5,2.5,3.25,2.0,2.5,7.0,4.0,4.0,5.0,3.0,6.5,3.0,3.5,4.0,3.5,20.5
3.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,321.0,311.0,200.0,174.0,135.0,161.0,106.0,7.0,12.0,12.0,8.0,11.0,15.0,11.0,302.0,144.0,9.75,14.75,2.5,5.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,0.5,13.5
