form.health_centre_information.facility_name,form.health_centre_information.location_information.region_province,form.health_centre_information.location_information.district,form.health_centre_information.location_information.chiefdom,form.health_centre_information.location_information.facility_location,form.health_centre_information.facility_type,form.health_centre_information.managing_authority,form.health_centre_information.setting,form.health_centre_information.outpatient_only,form.health_centre_information.capacity.number_consultation_rooms,form.health_centre_information.capacity.number_inpatient_beds,form.health_centre_information.capacity.number_maternity_beds,form.health_centre_information.group_number_employed.list_community_health_officer.cho_number_in_post,form.health_centre_information.group_number_employed.list_community_health_officer.cho_number_present_at_visit,form.health_centre_information.group_number_employed.list_community_health_technician.cht_number_in_post,form.health_centre_information.group_number_employed.list_community_health_technician.cht_number_present_at_visit,form.health_centre_information.group_number_employed.list_community_health_assistant.cha_number_in_post,form.health_centre_information.group_number_employed.list_community_health_assistant.cha_number_present_at_visit,form.health_centre_information.group_number_employed.list_community_midwives.cm_number_in_post,form.health_centre_information.group_number_employed.list_community_midwives.cm_number_present_at_visit,form.health_centre_information.group_number_employed.list_sechn.sechn_number_in_post,form.health_centre_information.group_number_employed.list_sechn.sechn_number_present_at_visit,form.health_centre_information.group_number_employed.list_laboratory_technicians.lab_tech_number_in_post,form.health_centre_information.group_number_employed.list_laboratory_technicians.lab_tech_number_present_at_visit,form.health_centre_information.group_number_employed.list_mch_aides.mch_aides_number_in_post,form.health_centre_information.group_number_employed.list_mch_aides.mch_aides_number_present_at_visit,form.health_centre_information.group_number_employed.list_cleaner_porter.cleaner_porter_number_in_post,form.health_centre_information.group_number_employed.list_cleaner_porter.cleaner_porter_number_present_at_visit,form.health_centre_information.group_number_employed.list_other.other_number_in_post,form.health_centre_information.group_number_employed.list_other.other_number_present_at_visit,form.consultations.head_count.month_1,form.consultations.head_count.month_2,form.consultations.head_count.month_3,form.consultations.head_count.month_4,form.consultations.general_outpatient.month_1,form.consultations.general_outpatient.month_2,form.consultations.general_outpatient.month_3,form.consultations.general_outpatient.month_4,form.consultations.deliveries.month_1,form.consultations.deliveries.month_2,form.consultations.deliveries.month_3,form.consultations.deliveries.month_4,form.consultations.pent_vaccines.month_1,form.consultations.pent_vaccines.month_2,form.consultations.pent_vaccines.month_3,form.consultations.pent_vaccines.month_4,form.ql_human_resources.hr_focal_point,form.ql_human_resources.hr_staff_received_info,form.ql_human_resources.hr_healthcare_provider_training,form.ql_human_resources.hr_healthcare_provider_revised_training,form.ql_human_resources.hr_daily_staff_list,form.ql_information_education_communication.iec_handwashing_procedure,form.ql_information_education_communication.iec_physical_distancing,form.ql_information_education_communication.iec_covering_nose_mouth,form.ql_information_education_communication.iec_early_symptom_recognition,form.ql_information_education_communication.iec_when_facility_vs_home,form.ql_information_education_communication.iec_rational_ppe_use,form.ql_information_education_communication.iec_helpline_number,form.ql_surveillance.surv_procedure_for_notification,form.ql_surveillance.surv_official_case_definition,form.ql_surveillance.surv_hotline_number,form.ql_surveillance.surv_timely_data_reported_to_district,form.ql_triage_and_early_recognition.ter_screening_area_set_up,form.ql_triage_and_early_recognition.ter_symptom_screening_questionnaires,form.ql_triage_and_early_recognition.ter_temperature_measurement_at_triage,form.ql_triage_and_early_recognition.ter_physical_distancing_in_waiting,form.ql_triage_and_early_recognition.ter_separate_waiting_for_symptomatic,form.ql_chw.chw_trained_precautions,form.ql_chw.chw_trained_community_service,form.ql_chw.chw_drugs,form.ql_chw.chw_gloves,form.ql_chw.chw_masks,form.ql_chw.chw_iec_materials,form.ql_isolation_physical_distancing.iso_designated_isolation_for_suspected,form.ql_isolation_physical_distancing.iso_distance_between_patients_in_waiting,form.ql_isolation_physical_distancing.iso_distance_between_patient_beds,form.ql_isolation_physical_distancing.iso_transfer_referral_protocol,form.grp_infection_prevention_and_control.ql_ppe.ipc_ppe_medical_masks,form.grp_infection_prevention_and_control.ql_ppe.ipc_ppe_disp_surgical_masks,form.grp_infection_prevention_and_control.ql_ppe.ipc_ppe_eye_protection,form.grp_infection_prevention_and_control.ql_ppe.ipc_ppe_examination_gloves,form.grp_infection_prevention_and_control.ql_ppe.ipc_ppe_surgical_gloves,form.grp_infection_prevention_and_control.ql_ppe.ipc_ppe_long_cuffed_gloves,form.grp_infection_prevention_and_control.ql_ppe.ipc_ppe_heavy_duty_gloves,form.grp_infection_prevention_and_control.ql_ppe.ipc_ppe_long_sleeved_gown,form.grp_infection_prevention_and_control.ql_ppe.ipc_ppe_waterproof_aprons,form.grp_infection_prevention_and_control.ql_ppe_plan.ipc_ppe_plan_staff_trained_on_ppe,form.grp_infection_prevention_and_control.ql_ppe_plan.ipc_ppe_plan_ppe_poster_displayed,form.grp_infection_prevention_and_control.ql_ppe_plan.ipc_ppe_plan_fit_test_kit,form.grp_infection_prevention_and_control.ql_ppe_plan.ipc_ppe_plan_contingency_for_shortages,form.grp_infection_prevention_and_control.ql_waste_collection_and_disposal.ipc_wcd_colour_coded_bins,form.grp_infection_prevention_and_control.ql_waste_collection_and_disposal.ipc_wcd_clinical_waste_bags,form.grp_infection_prevention_and_control.ql_waste_collection_and_disposal.ipc_wcd_laundry_receptacles_at_patient_rooms,form.grp_infection_prevention_and_control.ql_waste_collection_and_disposal.ipc_wcd_incinerator,form.grp_infection_prevention_and_control.ql_water_sanitation_and_hygiene.ipc_wash_clean_running_water,form.grp_infection_prevention_and_control.ql_water_sanitation_and_hygiene.ipc_wash_hand_soap,form.grp_infection_prevention_and_control.ql_water_sanitation_and_hygiene.ipc_wash_liquid_soap,form.grp_infection_prevention_and_control.ql_water_sanitation_and_hygiene.ipc_wash_disp_hand_towels,form.grp_infection_prevention_and_control.ql_water_sanitation_and_hygiene.ipc_wash_alcohol_based_hand_gel,form.grp_infection_prevention_and_control.ql_disinfection_and_sterilization.ipc_ds_protocol_facility_disinfection,form.grp_infection_prevention_and_control.ql_disinfection_and_sterilization.ipc_ds_protocol_equipment_sterilisation,form.grp_infection_prevention_and_control.ql_disinfection_and_sterilization.ipc_ds_environmental_disinfectant,form.grp_infection_prevention_and_control.ql_disinfection_and_sterilization.ipc_ds_cleaning_schedule_in_toilets,form.grp_infection_prevention_and_control.ql_disinfection_and_sterilization.ipc_ds_protocol_corpse_handling,form.ql_logistics_patient_and_sample_transfer.log_referral_plan,form.ql_logistics_patient_and_sample_transfer.log_cellphone_landline_swradio,form.ql_logistics_patient_and_sample_transfer.log_albendazole,form.ql_logistics_patient_and_sample_transfer.log_amoxicillin,form.ql_logistics_patient_and_sample_transfer.log_ampicillin,form.ql_logistics_patient_and_sample_transfer.log_chlorhexidine_5,form.question10.log_chlorhexidine_7,form.question10.log_gentamicin,form.question10.log_folic,form.question10.log_ferrous_and_folic,form.question10.log_compound_sodium,form.question10.log_co_trimoxazole_400,form.question10.log_co_trimoxazole_200,form.question6.log_metronidazole_250,form.question6.log_metronidazole_200,form.question6.log_methyldopa,form.question6.log_magnesium_sulphate,form.question6.log_lidocaine,form.question6.log_ibuprofen,form.question2.log_surgical_spirit,form.question2.log_sodium_chloride,form.question2.log_povidone,form.question2.log_paracetamol_500,form.question2.log_paracetamol_250,form.question2.log_ors,form.question7.log_gauze,form.question7.log_cotton_wool,form.question7.log_cannula_iv_20,form.question7.log_cannula_iv_24,form.question7.log_zinc_sulphate,form.question7.log_water,form.question4.log_needle_23,form.question4.log_needle_21,form.question4.log_glove_giving,form.question4.log_glove_surgical,form.question4.log_glove_gyn,form.question4.log_glove_exam,form.question1.log_tape,form.question1.log_syringe,form.question1.log_oxytocin,form.question1.log_diazepam,form.question1.log_misoprostol,form.question1.log_glucose,form.consultations.head_count.monthly_average_head_counts,form.consultations.general_outpatient.monthly_average_general_outpatient,form.consultations.deliveries.monthly_average_deliveries,form.consultations.pent_vaccines.monthly_average_pent_vaccines,form.ql_human_resources.score_human_resources,form.ql_information_education_communication.score_information_education_communication,form.ql_surveillance.score_surveillance,form.ql_triage_and_early_recognition.score_triage_and_early_recognition,form.ql_chw.score_chw,form.ql_isolation_physical_distancing.score_isolation,form.grp_infection_prevention_and_control.ql_ppe.score_infection_prevention_and_control_ppe,form.grp_infection_prevention_and_control.ql_ppe_plan.score_infection_prevention_and_control_ppe_plan,form.grp_infection_prevention_and_control.ql_waste_collection_and_disposal.score_infection_prevention_and_control_waste_collection_and_disposal,form.grp_infection_prevention_and_control.ql_water_sanitation_and_hygiene.score_infection_prevention_and_control_water_sanitation_and_hygiene,form.grp_infection_prevention_and_control.ql_disinfection_and_sterilization.score_infection_prevention_and_control_disinfection_and_sterilization,form.grp_infection_prevention_and_control.score_infection_prevention_and_control,form.question1.score_logistics_patient_and_sample_transfer,form.score_total,Latitude,Longitude
William hospital,Southern,Pujehun,New York,Jasonfort,community_health_post,government_public,peri_urban,yes,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,221,225,304,217,144,151,158,145,19,20,21,18,12,10,18,20,not_completed,completed,not_completed,not_completed,completed,not_displayed,displayed,displayed,displayed,displayed,displayed,displayed,fully_operational,fully_operational,fully_operational,fully_operational,fully_operational,not_in_place,fully_operational,fully_operational,not_in_place,not_in_place,not_in_place,partial,adequate,not_in_place,not_in_place,not_in_place,fully_operational,fully_operational,not_in_place,not_available,not_available,not_available,risk_of_shortage,risk_of_shortage,risk_of_shortage,not_available,risk_of_shortage,sufficient_supplies,available_fully_achieved,not_available,not_available,not_available,not_available,risk_of_shortage,not_available,sufficient_supplies,sufficient_supplies,sufficient_supplies,sufficient_supplies,not_available,sufficient_supplies,not_available,not_available,sufficient_supplies,not_available,not_available,not_available,not_available,not_available,available,not_available,not_available,not_available,partially_available,available,available,not_available,available,available,available,not_available,partially_available,partially_available,not_available,available,not_available,not_available,partially_available,available,not_available,available,partially_available,available,not_available,not_available,not_available,available,available,not_available,available,available,partially_available,available,not_available,available,available,not_available,not_available,not_available,241.75,149.5,19.5,15,2,6,4,3,1.5,2,3,1,1.5,4,1,10.5,19.5,48.5,60.234598,-90.157892
Kathryn Hospital/CHC,Southern,Bo,Arizona,West Jamesshire,community_health_post,government_public,rural,yes,1,1,2,0,0,0,0,1,0,0,0,2,2,0,0,2,2,0,0,13,5,270,238,245,269,178,155,171,182,15,15,17,16,18,16,19,16,not_completed,partially_completed,not_completed,not_completed,completed,not_displayed,displayed,displayed,not_displayed,not_displayed,not_displayed,displayed,partially_operational,not_in_place,fully_operational,fully_operational,not_in_place,not_in_place,not_in_place,partially_operational,not_in_place,not_in_place,not_in_place,partial,not_in_place,partial,not_in_place,not_in_place,not_in_place,not_in_place,partially_operational,risk_of_shortage,risk_of_shortage,risk_of_shortage,risk_of_shortage,not_available,not_available,not_available,not_available,sufficient_supplies,not_available,not_available,not_available,not_available,not_available,sufficient_supplies,not_available,not_available,sufficient_supplies,not_available,risk_of_shortage,not_available,not_available,not_available,not_available,not_available,not_available,not_available,partially_available,not_available,not_available,partially_available,partially_available,available,not_available,partially_available,not_available,not_available,partially_available,available,not_available,partially_available,not_available,available,available,available,partially_available,not_available,partially_available,available,not_available,not_available,available,partially_available,available,not_available,not_available,partially_available,available,not_available,available,available,not_available,not_available,available,available,available,available,available,not_available,not_available,255.5,171.5,15.75,17.25,1.5,3,2.5,0.5,1,0.5,3,0,1,1.5,0,5.5,21,35.5,21.2454855,-107.509120
Jessica Hospital,Southern,Bo,New Mexico,Robertsside,community_health_post,government_public,rural,yes,2,1,1,1,0,0,0,0,0,1,0,2,0,0,0,2,2,2,1,18,3,748,604,405,576,466,474,338,418,9,13,7,7,18,22,24,15,not_completed,completed,partially_completed,partially_completed,completed,displayed,not_displayed,displayed,not_displayed,not_displayed,displayed,displayed,partially_operational,not_in_place,fully_operational,fully_operational,not_in_place,not_in_place,not_in_place,partially_operational,not_in_place,not_in_place,not_in_place,adequate,partial,partial,not_in_place,not_in_place,not_in_place,partially_operational,partially_operational,risk_of_shortage,sufficient_supplies,sufficient_supplies,sufficient_supplies,risk_of_shortage,sufficient_supplies,not_available,risk_of_shortage,not_available,available_fully_achieved,not_available,not_available,not_available,sufficient_supplies,sufficient_supplies,not_available,risk_of_shortage,sufficient_supplies,not_available,sufficient_supplies,not_available,not_available,not_available,not_available,not_available,not_available,not_available,partially_available,not_available,available,not_available,available,available,available,available,available,not_available,available,available,available,available,not_available,available,available,available,available,available,available,available,not_available,not_available,available,available,available,available,partially_available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_available,583.25,424,9,19.75,3,4,2.5,0.5,1,1,5.5,1,1.5,2,0,10,33.5,55.5,-0.178657,-9.190029
Lauren CHC,Southern,Bonthe,Missouri,Port Christopher,mch_post,government_public,peri_urban,no,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,79,93,101,21,144,88,101,121,7,5,11,3,5,5,6,7,not_completed,partially_completed,partially_completed,not_completed,not_completed,displayed,not_displayed,not_displayed,not_displayed,not_displayed,not_displayed,not_displayed,fully_operational,not_in_place,fully_operational,fully_operational,not_in_place,not_in_place,fully_operational,fully_operational,not_in_place,partial,partial,partial,partial,partial,not_in_place,not_in_place,fully_operational,not_in_place,fully_operational,sufficient_supplies,not_available,sufficient_supplies,sufficient_supplies,not_available,sufficient_supplies,not_available,risk_of_shortage,sufficient_supplies,partially_achieved,not_available,not_available,not_available,not_available,not_available,not_available,not_available,sufficient_supplies,sufficient_supplies,sufficient_supplies,not_available,sufficient_supplies,not_available,sufficient_supplies,sufficient_supplies,not_available,not_available,available,available,available,available,not_available,available,available,available,not_available,not_available,available,available,not_available,available,not_available,available,available,available,available,available,available,available,available,not_available,available,available,available,available,available,available,available,available,available,available,available,available,available,partially_available,available,available,not_available,available,not_available,73.5,113.5,6.5,5.75,1,1,3,2,2,2,5.5,0.5,0,4,2,12,34.5,57.5,35.856989,-87.512790
Tammy CHC,Southern,Bonthe,Virginia,Reneeton,community_health_post,government_public,peri_urban,no,3,1,1,0,0,0,0,0,0,0,0,3,2,0,0,1,1,1,1,0,0,928,900,467,177,165,399,408,198,4,5,4,5,3,5,4,1,not_completed,completed,not_completed,partially_completed,completed,not_displayed,not_displayed,not_displayed,not_displayed,not_displayed,not_displayed,not_displayed,fully_operational,not_in_place,fully_operational,fully_operational,not_in_place,not_in_place,not_in_place,fully_operational,fully_operational,partial,partial,adequate,not_in_place,adequate,partial,fully_operational,fully_operational,not_in_place,fully_operational,risk_of_shortage,risk_of_shortage,risk_of_shortage,risk_of_shortage,risk_of_shortage,not_available,not_available,not_available,risk_of_shortage,partially_achieved,not_available,not_available,not_available,risk_of_shortage,risk_of_shortage,not_available,risk_of_shortage,sufficient_supplies,sufficient_supplies,sufficient_supplies,not_available,sufficient_supplies,sufficient_supplies,sufficient_supplies,sufficient_supplies,risk_of_shortage,not_available,available,available,available,available,available,not_available,not_available,available,not_available,not_available,available,not_available,not_available,available,not_available,not_available,not_available,available,available,available,available,available,available,available,available,available,available,partially_available,partially_available,available,available,available,available,available,partially_available,not_available,partially_available,available,available,available,available,partially_available,available,618,292.5,4.5,3.25,2.5,0,3,2,3,3,3,0.5,1.5,4,3,12,29.5,55.0,54.7148835,150.744813
Bryan Clinic,Southern,Pujehun,Michigan,Adammouth,community_health_post,government_public,peri_urban,yes,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,2,1,358,308,452,267,128,144,124,137,15,13,13,17,20,19,20,19,completed,partially_completed,partially_completed,partially_completed,completed,displayed,displayed,displayed,displayed,displayed,displayed,displayed,fully_operational,fully_operational,fully_operational,fully_operational,partially_operational,not_in_place,fully_operational,fully_operational,not_in_place,partial,partial,adequate,adequate,adequate,not_in_place,not_in_place,fully_operational,fully_operational,fully_operational,not_available,sufficient_supplies,sufficient_supplies,sufficient_supplies,not_available,risk_of_shortage,not_available,risk_of_shortage,risk_of_shortage,available_fully_achieved,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,sufficient_supplies,not_available,not_available,not_available,sufficient_supplies,sufficient_supplies,not_available,not_available,available,not_available,available,available,not_available,not_available,not_available,available,not_available,not_available,available,not_available,not_available,available,not_available,available,available,not_available,available,not_available,available,available,available,not_available,available,not_available,partially_available,available,not_available,not_available,not_available,not_available,not_available,available,not_available,available,available,available,available,available,not_available,not_available,not_available,346.25,133.25,14.5,19.5,3.5,7,4,2.5,3.5,3,4.5,1,0,1,2,8.5,21,53.0,61.8040035,28.191714
Cheryl Hospital/CHC,Southern,Bonthe,Nevada,Bryanchester,community_health_centre,government_public,peri_urban,no,1,2,2,1,0,0,0,1,1,0,0,1,1,0,0,2,2,2,0,0,0,293,304,345,190,166,178,190,163,7,0,10,18,14,18,22,15,completed,partially_completed,partially_completed,not_completed,not_completed,displayed,not_displayed,not_displayed,displayed,not_displayed,not_displayed,not_displayed,fully_operational,not_in_place,fully_operational,fully_operational,fully_operational,not_in_place,fully_operational,fully_operational,fully_operational,partial,partial,partial,partial,partial,not_in_place,not_in_place,fully_operational,fully_operational,fully_operational,not_available,not_available,not_available,not_available,not_available,risk_of_shortage,not_available,not_available,not_available,partially_achieved,not_available,not_available,available_fully_achieved,sufficient_supplies,not_available,not_available,not_available,sufficient_supplies,sufficient_supplies,sufficient_supplies,not_available,not_available,not_available,sufficient_supplies,not_available,not_available,not_available,available,available,partially_available,partially_available,partially_available,not_available,not_available,partially_available,partially_available,not_available,partially_available,partially_available,not_available,partially_available,partially_available,partially_available,not_available,partially_available,partially_available,not_available,partially_available,not_available,partially_available,partially_available,not_available,not_available,not_available,partially_available,not_available,partially_available,partially_available,partially_available,partially_available,partially_available,not_available,not_available,not_available,not_available,partially_available,available,partially_available,not_available,partially_available,283,174.25,8.75,17.25,2,2,3,4,2,3,0.5,1.5,1,3,1,7,15,38.0,86.9708915,173.527045
Brandi hospital,Southern,Moyamba,Florida,Port Kristinville,community_health_centre,government_public,peri_urban,yes,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,2,1,1,1,1,1,431,457,329,345,196,177,146,140,11,11,8,9,21,11,19,16,completed,completed,partially_completed,partially_completed,partially_completed,displayed,displayed,displayed,displayed,not_displayed,displayed,displayed,partially_operational,not_in_place,not_in_place,fully_operational,fully_operational,fully_operational,fully_operational,fully_operational,not_in_place,partial,partial,partial,partial,partial,partial,partially_operational,fully_operational,fully_operational,fully_operational,sufficient_supplies,sufficient_supplies,sufficient_supplies,sufficient_supplies,sufficient_supplies,not_available,risk_of_shortage,risk_of_shortage,sufficient_supplies,partially_achieved,not_available,partially_achieved,available_fully_achieved,sufficient_supplies,sufficient_supplies,sufficient_supplies,sufficient_supplies,sufficient_supplies,risk_of_shortage,risk_of_shortage,not_available,risk_of_shortage,sufficient_supplies,sufficient_supplies,sufficient_supplies,sufficient_supplies,sufficient_supplies,available,not_available,available,available,available,available,not_available,not_available,not_available,not_available,available,available,not_available,available,not_available,available,not_available,available,not_available,available,available,available,available,not_available,available,not_available,available,available,available,available,available,not_available,not_available,available,available,available,available,not_available,not_available,available,available,not_available,not_available,390.5,164.75,9.75,16.75,3.5,6,1.5,4,2.5,3.5,7,2,4,2.5,4,19.5,25,65.5,77.8973365,70.112618
Michael Regional Hospital,Northern,Koinadugu,Arkansas,South Adam,mch_post,government_public,peri_urban,yes,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,4,168,215,181,252,127,87,114,101,5,6,10,5,14,11,10,9,not_completed,completed,partially_completed,not_completed,completed,displayed,displayed,displayed,displayed,displayed,displayed,displayed,fully_operational,not_in_place,fully_operational,fully_operational,not_in_place,not_in_place,fully_operational,fully_operational,not_in_place,partial,partial,adequate,adequate,not_in_place,not_in_place,not_in_place,fully_operational,fully_operational,fully_operational,not_available,not_available,sufficient_supplies,sufficient_supplies,sufficient_supplies,not_available,not_available,not_available,sufficient_supplies,partially_achieved,not_available,not_available,not_available,sufficient_supplies,sufficient_supplies,not_available,sufficient_supplies,sufficient_supplies,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,available,available,partially_available,available,not_available,not_available,not_available,partially_available,not_available,not_available,not_available,available,not_available,not_available,not_available,not_available,available,not_available,available,partially_available,available,partially_available,available,not_available,available,not_available,available,available,not_available,partially_available,available,not_available,not_available,available,not_available,not_available,not_available,available,partially_available,not_available,available,not_available,not_available,204,107.25,6.5,11,0,0,0,0,0,0,0,0,0,0,0,0,17,17.0,-24.700264,79.460077
Michael Hospital,Northern,Koinadugu,Georgia,Harrisburgh,community_health_centre,government_public,peri_urban,yes,3,6,2,1,1,0,0,0,0,1,1,1,1,1,1,2,2,2,2,6,6,1,2,3,4,1,2,3,4,1,2,5,5,1,2,2,3,not_completed,completed,partially_completed,not_completed,completed,displayed,displayed,displayed,displayed,displayed,displayed,displayed,fully_operational,fully_operational,fully_operational,fully_operational,fully_operational,fully_operational,fully_operational,fully_operational,not_in_place,adequate,adequate,adequate,adequate,adequate,adequate,not_in_place,fully_operational,fully_operational,fully_operational,sufficient_supplies,sufficient_supplies,risk_of_shortage,sufficient_supplies,sufficient_supplies,not_available,not_available,sufficient_supplies,sufficient_supplies,available_fully_achieved,available_fully_achieved,not_available,available_fully_achieved,sufficient_supplies,sufficient_supplies,risk_of_shortage,sufficient_supplies,sufficient_supplies,sufficient_supplies,sufficient_supplies,not_available,sufficient_supplies,sufficient_supplies,sufficient_supplies,risk_of_shortage,sufficient_supplies,sufficient_supplies,available,not_available,available,available,available,partially_available,not_available,available,available,not_available,not_available,available,not_available,not_available,not_available,available,available,available,available,available,available,available,available,not_available,available,available,available,available,available,available,not_available,available,available,available,available,available,available,available,available,available,available,not_available,not_available,2.5,2.5,3.25,2,2.5,7,4,4,5,3,6.5,3,3.5,4,3.5,20.5,30.5,76.5,21.108351,-60.068170
