form.consultations.head_count.monthly_average_head_counts,form.consultations.general_outpatient.monthly_average_general_outpatient,form.consultations.deliveries.monthly_average_deliveries,form.consultations.pent_vaccines.monthly_average_pent_vaccines,form.ql_human_resources.score_human_resources,form.ql_information_education_communication.score_information_education_communication,form.ql_surveillance.score_surveillance,form.ql_triage_and_early_recognition.score_triage_and_early_recognition,form.ql_chw.score_chw,form.ql_isolation_physical_distancing.score_isolation,form.grp_infection_prevention_and_control.ql_ppe.score_infection_prevention_and_control_ppe,form.grp_infection_prevention_and_control.ql_ppe_plan.score_infection_prevention_and_control_ppe_plan,form.grp_infection_prevention_and_control.ql_waste_collection_and_disposal.score_infection_prevention_and_control_waste_collection_and_disposal,form.grp_infection_prevention_and_control.ql_water_sanitation_and_hygiene.score_infection_prevention_and_control_water_sanitation_and_hygiene,form.grp_infection_prevention_and_control.ql_disinfection_and_sterilization.score_infection_prevention_and_control_disinfection_and_sterilization,form.grp_infection_prevention_and_control.score_infection_prevention_and_control
241.75,149.5,19.5,15.0,2.0,6.0,4.0,3.0,1.5,2.0,3.0,1.0,1.5,4.0,1.0,10.5
255.5,171.5,15.75,17.25,1.5,3.0,2.5,0.5,1.0,0.5,3.0,0.0,1.0,1.5,0.0,5.5
583.25,424.0,9.0,19.75,3.0,4.0,2.5,0.5,1.0,1.0,5.5,1.0,1.5,2.0,0.0,10.0
73.5,113.5,6.5,5.75,1.0,1.0,3.0,2.0,2.0,2.0,5.5,0.5,0.0,4.0,2.0,12.0
618.0,292.5,4.5,3.25,2.5,0.0,3.0,2.0,3.0,3.0,3.0,0.5,1.5,4.0,3.0,12.0
346.25,133.25,14.5,19.5,3.5,7.0,4.0,2.5,3.5,3.0,4.5,1.0,0.0,1.0,2.0,8.5
283.0,174.25,8.75,17.25,2.0,2.0,3.0,4.0,2.0,3.0,0.5,1.5,1.0,3.0,1.0,7.0
390.5,164.75,9.75,16.75,3.5,6.0,1.5,4.0,2.5,3.5,7.0,2.0,4.0,2.5,4.0,19.5
204.0,107.25,6.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,2.5,3.25,2.0,2.5,7.0,4.0,4.0,5.0,3.0,6.5,3.0,3.5,4.0,3.5,20.5
302.0,144.0,9.75,14.75,2.5,5.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,0.5,13.5
464.5,256.25,19.75,14.75,4.5,7.0,4.0,3.0,1.5,3.5,4.0,3.5,3.0,1.0,3.5,15.0
173.75,24.75,6.0,9.0,3.0,6.0,2.0,1.0,4.0,2.0,5.5,1.0,2.0,5.0,4.0,17.5
426.75,196.75,14.0,10.25,2.5,7.0,1.0,0.5,2.0,2.0,8.5,2.0,4.0,2.5,1.5,18.5
242.5,134.0,6.5,7.75,2.0,1.0,3.0,0.5,2.0,1.0,2.0,0.0,0.0,1.0,0.5,3.5
987.5,483.75,28.5,38.5,1.0,1.0,3.0,3.5,3.0,2.0,2.0,0.0,1.5,2.0,2.0,7.5
178.5,91.5,15.75,18.75,1.0,2.0,3.5,0.0,0.0,0.0,1.5,0.5,1.5,0.5,1.0,5.0
1251.5,144.0,12.0,13.25,0.0,1.0,1.5,0.5,0.0,2.0,0.0,0.0,2.0,1.5,0.5,4.0
252.25,503.0,10.75,18.5,4.0,1.0,2.5,4.0,2.0,3.0,1.5,0.5,1.0,2.0,0.0,5.0
508.25,570.0,18.25,13.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,0.0,1.0,2.0,1.0,8.0
654.25,454.5,19.5,29.5,2.0,6.0,3.0,0.0,1.5,0.5,2.0,0.5,1.0,1.5,1.0,6.0
263.5,163.75,11.75,9.5,1.0,5.0,2.0,2.5,4.0,1.0,9.0,0.5,2.5,0.5,0.0,12.5
226.0,59.75,14.0,16.5,0.5,1.0,0.5,1.0,0.5,3.0,1.0,0.5,1.0,0.5,0.5,3.5
298.5,175.75,8.25,11.25,2.5,6.0,2.5,3.5,5.0,4.0,4.0,3.0,3.0,1.5,2.5,14.0
401.75,180.0,10.5,9.75,1.5,5.0,4.0,4.5,2.0,2.5,2.0,1.5,2.0,2.5,0.5,8.5
319.0,165.0,5.25,8.0,3.0,5.0,3.0,0.5,1.0,1.5,2.5,1.5,2.0,3.0,2.0,11.0
467.75,485.25,8.0,15.0,2.5,3.0,2.0,2.5,2.5,3.5,2.5,0.0,0.0,2.5,0.5,5.5
287.75,272.25,14.75,11.25,3.0,2.0,2.0,3.0,2.0,3.0,2.5,1.0,0.5,0.5,2.0,6.5
0.0,0.0,0.0,0.0,3.5,6.0,3.5,2.0,2.5,1.5,4.5,3.0,2.0,5.0,2.0,16.5
847.25,388.5,33.5,35.75,2.0,3.0,3.0,3.5,2.5,3.5,0.0,2.5,4.0,1.0,2.0,9.5
238.75,142.25,9.0,12.25,2.5,1.0,3.0,1.5,1.0,2.0,4.5,2.5,2.0,0.5,1.5,11.0
270.5,171.25,11.25,14.0,2.0,7.0,4.0,3.0,4.5,3.0,7.0,4.0,0.0,0.5,3.0,14.5
279.0,141.75,12.0,9.5,4.0,7.0,3.0,4.0,4.5,3.0,6.0,4.0,1.0,0.5,3.5,15.0
830.5,209.0,27.25,20.0,5.0,7.0,4.0,5.0,5.0,4.0,4.0,1.0,2.5,2.0,0.5,10.0
153.0,104.25,12.25,8.0,1.0,6.0,3.0,1.5,0.5,0.0,6.5,0.5,2.5,2.0,2.0,13.5
2034.25,1109.75,16.75,41.0,2.0,4.0,3.0,0.5,2.0,3.0,1.5,2.0,2.0,1.0,0.5,7.0
227.5,109.75,8.25,18.25,2.0,2.0,1.0,1.0,2.0,1.5,2.0,2.0,2.0,1.0,0.0,7.0
330.75,43.75,10.0,10.5,4.0,5.0,3.0,0.5,3.0,1.5,8.0,1.5,3.0,1.0,0.0,13.5
873.25,450.75,51.25,30.5,2.0,6.0,2.5,3.5,2.5,0.0,0.5,0.5,1.5,2.0,1.5,6.0
233.0,84.0,9.0,8.0,3.5,6.0,4.0,4.5,1.0,3.5,4.0,2.5,3.5,2.0,3.0,15.0
509.75,333.25,9.75,13.25,5.0,7.0,3.5,5.0,3.0,4.0,8.5,4.0,4.0,2.5,4.0,23.0
361.25,177.5,11.5,10.25,2.0,7.0,4.0,5.0,3.5,4.0,5.5,4.0,4.0,1.0,4.0,18.5
668.0,74.5,12.0,7.75,1.0,5.0,4.0,1.0,1.5,2.5,5.5,0.5,1.0,0.5,0.0,7.5
226.0,59.75,14.0,16.5,0.5,1.0,2.0,1.5,0.0,3.0,1.0,0.5,1.0,0.5,0.5,3.5
120.75,117.5,5.25,6.25,2.5,2.0,4.0,0.0,2.5,2.0,1.5,1.0,0.0,2.0,0.5,5.0
336.5,209.25,12.25,16.5,2.0,7.0,3.0,1.0,1.5,0.0,5.5,1.5,1.0,1.5,0.5,10.0
813.0,245.25,17.75,25.75,2.5,6.0,2.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,6.0
440.75,293.5,26.25,22.25,2.0,1.0,4.0,0.5,0.5,2.0,3.0,0.5,0.5,0.5,0.0,4.5
405.5,288.75,9.5,12.75,1.5,7.0,4.0,1.0,3.5,1.5,5.0,2.0,2.0,1.0,0.0,10.0
315.75,184.5,11.75,9.5,3.0,7.0,4.0,4.0,4.5,2.5,8.0,2.0,1.5,3.0,1.0,15.5
1251.5,601.75,15.5,16.75,1.5,7.0,3.5,4.5,1.5,4.0,4.5,0.0,3.0,2.5,3.5,13.5
347.25,166.75,9.5,11.5,4.5,6.0,4.0,2.5,0.5,2.5,6.0,0.5,4.0,4.0,1.0,15.5
635.0,64.75,10.0,13.25,2.0,4.0,2.5,0.5,0.5,1.5,5.0,2.5,3.0,2.0,2.5,15.0
